ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,TSS_BIOMASS_G,TSS_g/L,VSS_BIOMASS_G,VSS_g/L,TSS_%,VSS_%
CH230906,PT,Control,24,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,12,48,1,1,0.009300000000000003,0.6200000000000002,0.0025304347826087,0.16869565217391333,72.79102384291721,27.208976157082787
CH230801,PT,12,48,2,1,0.013800000000000007,0.9200000000000005,0.0021304347826087023,0.14202898550724682,84.56206679269057,15.43793320730943
CH230906,PT,12,48,3,1,0.01609999999999999,1.0733333333333326,0.0054304347826087,0.36202898550724666,66.2705914123683,33.729408587631696
CH230709,PT,3,48,1,1,0.016700000000000007,1.1133333333333337,0.0008304347826087067,0.055362318840580446,95.02733663108559,4.972663368914409
CH230801,PT,3,48,2,1,0.01580000000000001,1.053333333333334,0.0,0.0,100.0,0.0
CH230906,PT,3,48,3,1,0.0165,1.1,0.0,0.0,100.0,0.0
CH230709,PT,6,48,1,1,0.0203,1.3533333333333333,0.001530434782608699,0.10202898550724661,92.46091240094236,7.539087599057631
CH230801,PT,6,48,2,1,0.01859999999999999,1.2399999999999993,0.0010304347826086985,0.06869565217391324,94.46002805049086,5.539971949509136
CH230906,PT,6,48,3,1,0.016900000000000012,1.1266666666666676,0.0,0.0,100.0,0.0
CH230709,PT,9,48,1,1,0.017,1.1333333333333333,0.0017304347826087047,0.11536231884058032,89.82097186700761,10.17902813299238
CH230801,PT,9,48,2,1,0.0189,1.26,0.0014304347826086961,0.09536231884057973,92.43156199677938,7.5684380032206136
CH230906,PT,9,48,3,1,0.022400000000000003,1.4933333333333334,0.005830434782608697,0.38869565217391316,73.97127329192546,26.02872670807454
CH230709,PT,Control,48,1,1,0.020000000000000004,1.3333333333333335,0.0017304347826087047,0.11536231884058032,91.34782608695647,8.652173913043523
CH230801,PT,Control,48,2,1,0.019099999999999992,1.2733333333333328,0.0009304347826086957,0.06202898550724638,95.1286137036194,4.871386296380608
CH230906,PT,Control,48,3,1,0.0213,1.42,0.0038304347826086955,0.25536231884057975,82.01673810981833,17.983261890181673
CH231216,RM,+EPS,0,1,1,0.0032000000000000084,0.2133333333333339,0.0,0.0,100.0,0.0
CH231215,RM,+EPS,0,2,1,0.0015000000000000013,0.10000000000000009,3.0434782608697655e-05,0.0020289855072465105,97.9710144927535,2.028985507246509
CH231214,RM,+EPS,0,3,1,0.0034000000000000002,0.22666666666666668,0.00043043478260869523,0.028695652173913018,87.34015345268543,12.659846547314565
CH231216,RM,-EPS,0,1,1,0.0032000000000000084,0.2133333333333339,0.0,0.0,100.0,0.0
CH231215,RM,-EPS,0,2,1,0.0015000000000000013,0.10000000000000009,3.0434782608697655e-05,0.0020289855072465105,97.9710144927535,2.028985507246509
CH231214,RM,-EPS,0,3,1,0.0034000000000000002,0.22666666666666668,0.00043043478260869523,0.028695652173913018,87.34015345268543,12.659846547314565
CH231216,RM,AT,0,1,1,0.0032000000000000084,0.2133333333333339,0.0,0.0,100.0,0.0
CH231215,RM,AT,0,2,1,0.0015000000000000013,0.10000000000000009,3.0434782608697655e-05,0.0020289855072465105,97.9710144927535,2.028985507246509
CH231214,RM,AT,0,3,1,0.0034000000000000002,0.22666666666666668,0.00043043478260869523,0.028695652173913018,87.34015345268543,12.659846547314565
CH231216,RM,Control,0,1,1,0.006599999999999995,0.4399999999999996,0.00023043478260870338,0.015362318840580227,96.50856389986812,3.4914361001318728
CH231215,RM,Control,0,2,1,0.008499999999999994,0.5666666666666663,0.0005304347826086981,0.03536231884057987,93.75959079283884,6.240409207161158
CH231214,RM,Control,0,3,1,0.010800000000000004,0.7200000000000003,0.0007304347826087038,0.04869565217391359,93.23671497584533,6.763285024154662
CH231216,RM,ET,0,1,1,0.0032000000000000084,0.2133333333333339,0.0,0.0,100.0,0.0
CH231215,RM,ET,0,2,1,0.0015000000000000013,0.10000000000000009,3.0434782608697655e-05,0.0020289855072465105,97.9710144927535,2.028985507246509
CH231214,RM,ET,0,3,1,0.0034000000000000002,0.22666666666666668,0.00043043478260869523,0.028695652173913018,87.34015345268543,12.659846547314565
CH231202,RM,+EPS,12,1,1,0.005400000000000002,0.36000000000000015,0.00013043478260870052,0.008695652173913368,97.58454106280185,2.415458937198157
CH231201,RM,+EPS,12,2,1,0.0030000000000000027,0.20000000000000018,0.00043043478260869523,0.028695652173913018,85.6521739130435,14.347826086956497
